(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 201/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0023
Config 202/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2035
Config 203/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1829
Config 204/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0027
Config 205/864 | Val Accuracy: 0.5588 | Tr MSE: 0.1968
Config 206/864 | Val Accuracy: 0.7059 | Tr MSE: 0.1695
Config 207/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0009
Config 208/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2286
Config 209/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2109
Config 210/864 | Val Accuracy: 0.7647 | Tr MSE: 0.1427
Config 211/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2226
Config 212/864 | Val Accuracy: 0.5588 | Tr MSE: 0.1523
Config 213/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2079
Config 214/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2134
Config 215/864 | Val Accuracy: 0.5882 | Tr MSE: 0.1461
Config 216/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0148
Config 217/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2659
Config 218/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2276
Config 219/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2211
Config 220/864 | Val Accuracy: 0.7647 | Tr MSE: 0.2520
Config 221/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2402
Config 222/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2149
Config 223/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2428
Config 224/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2246
Config 225/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2038
Config 226/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0032
Config 227/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0015
Config 228/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 229/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0010
Config 230/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0005
Config 231/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 232/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0007
Config 233/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 234/864 | Val Accuracy: 0.6765 | Tr MSE: 0.1435
Config 235/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2217
Config 236/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2083
Config 237/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2119
Config 238/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2191
Config 239/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2072
Config 240/864 | Val Accuracy: 0.7353 | Tr MSE: 0.1636
Config 241/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2105
Config 242/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2118
Config 243/864 | Val Accuracy: 0.8529 | Tr MSE: 0.0761
Config 244/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2342
Config 245/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2240
Config 246/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2346
Config 247/864 | Val Accuracy: 0.5588 | Tr MSE: 0.1925
Config 248/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2018
Config 249/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1929
Config 250/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2019
Config 251/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2117
Config 252/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1586
Config 253/864 | Val Accuracy: 0.4412 | Tr MSE: 0.2442
Config 254/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2975
Config 255/864 | Val Accuracy: 0.4706 | Tr MSE: 0.2310
Config 256/864 | Val Accuracy: 0.3824 | Tr MSE: 0.6092
Config 257/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2575
Config 258/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4167
Config 259/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3634
Config 260/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2445
Config 261/864 | Val Accuracy: 0.4412 | Tr MSE: 0.2948
Config 262/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2322
Config 263/864 | Val Accuracy: 0.5294 | Tr MSE: 0.2208
Config 264/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2075
Config 265/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2290
Config 266/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2173
Config 267/864 | Val Accuracy: 0.5882 | Tr MSE: 0.1693
Config 268/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2236
Config 269/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2110
Config 270/864 | Val Accuracy: 0.5588 | Tr MSE: 0.2132
Config 271/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3910
Config 272/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2666
Config 273/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3087
Config 274/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4896
Config 275/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4799
Config 276/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2405
Config 277/864 | Val Accuracy: 0.4412 | Tr MSE: 0.3881
Config 278/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3745
Config 279/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2469
Config 280/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3174
Config 281/864 | Val Accuracy: 0.3824 | Tr MSE: 0.5153
