(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 188/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1411
Config 189/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1209
Config 190/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0611
Config 191/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0607
Config 192/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0478
Config 193/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0427
Config 194/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0401
Config 195/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0600
Config 196/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0010
Config 197/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0403
Config 198/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0600
Config 199/864 | Val Accuracy: 0.7500 | Tr MSE: 0.1739
Config 200/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1207
Config 201/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0890
Config 202/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1119
Config 203/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1179
Config 204/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0623
Config 205/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1481
Config 206/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1184
Config 207/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0623
Config 208/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1535
Config 209/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1369
Config 210/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1172
Config 211/864 | Val Accuracy: 0.7083 | Tr MSE: 0.2072
Config 212/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1317
Config 213/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1073
Config 214/864 | Val Accuracy: 0.7917 | Tr MSE: 0.2230
Config 215/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1397
Config 216/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0662
Config 217/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2363
Config 218/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2195
Config 219/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1308
